"Model","term","HR","CI_lower","CI_upper","p_value"
"Univariate_GPRC5A","gprc5a_expr",1.362,1.173,1.582,"5.26e-05"
"Adjusted_Treatment","gprc5a_expr",1.416,1.218,1.646,"6.14e-06"
"Adjusted_Treatment","received_gemcitabineTRUE",0.465,0.302,0.717,"0.000528"
"Adjusted_Subtype","gprc5a_expr",1.359,1.174,1.572,"3.83e-05"
"Adjusted_Subtype","subtype_moffittClassical",0.746,0.495,1.124,"0.161"
"Fully_Adjusted","gprc5a_expr",1.438,1.233,1.678,"3.89e-06"
"Fully_Adjusted","received_gemcitabineTRUE",0.323,0.194,0.536,"1.31e-05"
"Fully_Adjusted","subtype_moffittClassical",0.68,0.442,1.045,"0.07824"
"Fully_Adjusted","age_years",1.018,0.997,1.039,"0.10144"
"Fully_Adjusted","stage_binaryStage IV",1.642,0.392,6.89,"0.49764"
"Fully_Adjusted","stage_binaryUnknown",0.431,0.247,0.753,"0.00309"
"Interaction_GemxGPRC5A","gprc5a_expr",1.466,1.222,1.757,"3.64e-05"
"Interaction_GemxGPRC5A","received_gemcitabineTRUE",4.484,0.018,1099.785,"0.593"
"Interaction_GemxGPRC5A","gprc5a_expr:received_gemcitabineTRUE",0.859,0.593,1.243,"0.420"
