"Feature","Importance"
"CYP2S1",100
"KRBA2",93.8694542305621
"AREG",86.2983837300804
"subtype_score",78.4424834973415
"TTC23L",77.7596822111782
"CEACAM6",72.0295269344358
"classical_score",65.4498778059524
"TMPRSS4",59.6625739673279
"VAMP2",57.689845576161
"KRT17",56.9436639158454
"CTSE",50.0347271626759
"LY6D",48.7911768893677
"PLBD1",48.2531727963509
"TFF2",46.1479342181694
"NEURL4",44.4397705865618
"TCTN1",44.3672205478562
"AGR2",38.4851527974191
"OSBPL3",38.0412649842989
"CARD11",37.737996990351
"SFN",36.7591564032951
"ANLN",35.7805611256714
"MROH8",34.612331742322
"GPRC5A",33.9137843454816
"LAMB3",33.3843721816721
"ACSL5",32.8782152367603
"ANXA3",32.8015037481606
"LGALS3",32.5974351807939
"IL1RN",32.5425458525413
"LYZ",31.6673410021288
"MYO1A",30.1816141671945
